@relation matrizes
@attribute p0 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute p22 numeric
@attribute p23 numeric
@attribute p24 numeric
@attribute p25 numeric
@attribute p26 numeric
@attribute p27 numeric
@attribute p28 numeric
@attribute p29 numeric
@attribute p30 numeric
@attribute p31 numeric
@attribute p32 numeric
@attribute p33 numeric
@attribute p34 numeric
@attribute p35 numeric
@attribute p36 numeric
@attribute p37 numeric
@attribute p38 numeric
@attribute p39 numeric
@attribute p40 numeric
@attribute p41 numeric
@attribute p42 numeric
@attribute p43 numeric
@attribute p44 numeric
@attribute p45 numeric
@attribute p46 numeric
@attribute p47 numeric
@attribute p48 numeric
@attribute p49 numeric
@attribute p50 numeric
@attribute p51 numeric
@attribute p52 numeric
@attribute p53 numeric
@attribute p54 numeric
@attribute p55 numeric
@attribute p56 numeric
@attribute p57 numeric
@attribute p58 numeric
@attribute p59 numeric
@attribute p60 numeric
@attribute p61 numeric
@attribute p62 numeric
@attribute p63 numeric
@attribute p64 numeric
@attribute p65 numeric
@attribute p66 numeric
@attribute p67 numeric
@attribute p68 numeric
@attribute p69 numeric
@attribute p70 numeric
@attribute p71 numeric
@attribute p72 numeric
@attribute p73 numeric
@attribute p74 numeric
@attribute p75 numeric
@attribute p76 numeric
@attribute p77 numeric
@attribute p78 numeric
@attribute p79 numeric
@attribute p80 numeric
@attribute p81 numeric
@attribute p82 numeric
@attribute p83 numeric
@attribute p84 numeric
@attribute p85 numeric
@attribute p86 numeric
@attribute p87 numeric
@attribute p88 numeric
@attribute p89 numeric
@attribute p90 numeric
@attribute p91 numeric
@attribute p92 numeric
@attribute p93 numeric
@attribute p94 numeric
@attribute p95 numeric
@attribute p96 numeric
@attribute p97 numeric
@attribute p98 numeric
@attribute p99 numeric
@attribute p100 numeric
@attribute p101 numeric
@attribute p102 numeric
@attribute p103 numeric
@attribute p104 numeric
@attribute p105 numeric
@attribute p106 numeric
@attribute p107 numeric
@attribute p108 numeric
@attribute p109 numeric
@attribute p110 numeric
@attribute p111 numeric
@attribute p112 numeric
@attribute p113 numeric
@attribute p114 numeric
@attribute p115 numeric
@attribute p116 numeric
@attribute p117 numeric
@attribute p118 numeric
@attribute p119 numeric
@attribute p120 numeric
@attribute p121 numeric
@attribute p122 numeric
@attribute p123 numeric
@attribute p124 numeric
@attribute p125 numeric
@attribute p126 numeric
@attribute p127 numeric
@attribute p128 numeric
@attribute p129 numeric
@attribute p130 numeric
@attribute p131 numeric
@attribute p132 numeric
@attribute p133 numeric
@attribute p134 numeric
@attribute p135 numeric
@attribute p136 numeric
@attribute p137 numeric
@attribute p138 numeric
@attribute p139 numeric
@attribute p140 numeric
@attribute p141 numeric
@attribute p142 numeric
@attribute p143 numeric
@attribute p144 numeric
@attribute p145 numeric
@attribute p146 numeric
@attribute p147 numeric
@attribute p148 numeric
@attribute p149 numeric
@attribute p150 numeric
@attribute p151 numeric
@attribute p152 numeric
@attribute p153 numeric
@attribute p154 numeric
@attribute p155 numeric
@attribute p156 numeric
@attribute p157 numeric
@attribute p158 numeric
@attribute p159 numeric
@attribute p160 numeric
@attribute p161 numeric
@attribute p162 numeric
@attribute p163 numeric
@attribute p164 numeric
@attribute p165 numeric
@attribute p166 numeric
@attribute p167 numeric
@attribute p168 numeric
@attribute p169 numeric
@attribute p170 numeric
@attribute p171 numeric
@attribute p172 numeric
@attribute p173 numeric
@attribute p174 numeric
@attribute p175 numeric
@attribute p176 numeric
@attribute p177 numeric
@attribute p178 numeric
@attribute p179 numeric
@attribute p180 numeric
@attribute p181 numeric
@attribute p182 numeric
@attribute p183 numeric
@attribute p184 numeric
@attribute p185 numeric
@attribute p186 numeric
@attribute p187 numeric
@attribute p188 numeric
@attribute p189 numeric
@attribute p190 numeric
@attribute p191 numeric
@attribute p192 numeric
@attribute p193 numeric
@attribute p194 numeric
@attribute p195 numeric
@attribute p196 numeric
@attribute p197 numeric
@attribute p198 numeric
@attribute p199 numeric
@attribute p200 numeric
@attribute p201 numeric
@attribute p202 numeric
@attribute p203 numeric
@attribute p204 numeric
@attribute p205 numeric
@attribute p206 numeric
@attribute p207 numeric
@attribute p208 numeric
@attribute p209 numeric
@attribute p210 numeric
@attribute p211 numeric
@attribute p212 numeric
@attribute p213 numeric
@attribute p214 numeric
@attribute p215 numeric
@attribute p216 numeric
@attribute p217 numeric
@attribute p218 numeric
@attribute p219 numeric
@attribute p220 numeric
@attribute p221 numeric
@attribute p222 numeric
@attribute p223 numeric
@attribute p224 numeric
@attribute p225 numeric
@attribute p226 numeric
@attribute p227 numeric
@attribute p228 numeric
@attribute p229 numeric
@attribute p230 numeric
@attribute p231 numeric
@attribute p232 numeric
@attribute p233 numeric
@attribute p234 numeric
@attribute p235 numeric
@attribute p236 numeric
@attribute p237 numeric
@attribute p238 numeric
@attribute p239 numeric
@attribute p240 numeric
@attribute p241 numeric
@attribute p242 numeric
@attribute p243 numeric
@attribute p244 numeric
@attribute p245 numeric
@attribute p246 numeric
@attribute p247 numeric
@attribute p248 numeric
@attribute p249 numeric
@attribute p250 numeric
@attribute p251 numeric
@attribute p252 numeric
@attribute p253 numeric
@attribute p254 numeric
@attribute p255 numeric
@attribute class {stroma,epithelium,unknown}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,12,15,119,208,14,0,0,0,0,0,0,0,0,0,0,0,50,82,88,1028,1085,17,0,0,0,0,0,0,0,0,0,0,15,210,225,277,6367,2919,11,0,0,0,0,0,0,0,0,1,2,225,202,243,1216,16990,2195,0,0,0,0,0,0,0,0,0,3,29,223,224,157,3743,15855,308,0,0,0,0,0,0,0,0,0,0,75,20,81,117,3505,4311,25,0,0,0,0,0,0,0,2,4,10,22,8,14,31,562,626,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,5,0,0,0,0,0,0,0,0,0,0,0,0,23,50,684,732,4,0,0,0,0,0,0,0,0,0,0,0,28,338,357,27358,12005,2,0,0,0,0,0,0,0,0,0,0,0,794,917,3961,165797,12602,0,0,0,0,0,0,0,0,0,0,4,112,826,876,19547,165825,3698,0,0,0,0,0,0,0,0,0,1,5,460,335,353,17835,63201,290,0,0,0,0,0,0,0,0,0,0,28,106,106,93,4342,7336,47,0,0,0,0,0,0,0,0,1,2,81,25,87,60,371,1155,7,0,0,0,0,0,0,0,0,0,1,78,42,32,51,129,609,0,0,0,0,0,0,0,0,0,0,24,3,16,0,16,64,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,352,254,4,0,0,0,0,0,0,0,0,0,0,0,13,37,48,890,529,7,0,0,0,0,0,0,0,0,0,0,7,77,69,114,1803,868,7,0,0,0,0,0,0,0,0,0,0,68,75,91,234,3945,1182,1,0,0,0,0,0,0,0,1,3,19,99,94,60,548,6732,1009,5,0,0,0,0,0,0,0,2,3,108,68,141,88,1159,9830,1042,0,0,0,0,0,0,0,1,3,14,222,76,182,188,2062,15407,1012,0,0,0,0,0,0,1,1,0,141,126,212,36,251,2756,12564,85,0,0,0,0,0,0,0,0,0,25,1,31,7,27,1189,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,18,28,25,298,257,0,0,0,0,0,0,0,0,0,0,1,7,66,66,67,1621,557,0,0,0,0,0,0,0,0,0,1,1,93,72,108,214,4222,919,0,0,0,0,0,0,0,0,0,1,7,208,174,102,475,11956,1280,1,0,0,0,0,0,0,0,0,0,163,171,295,144,1311,27989,1022,0,0,0,0,0,0,0,2,4,5,326,70,271,255,2807,35897,912,0,0,0,0,0,0,0,0,0,105,159,211,60,264,3851,24241,54,0,0,0,0,0,0,0,0,0,43,0,36,2,32,1121,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,494,337,20,0,0,0,0,0,0,0,0,0,0,0,18,26,47,2969,1442,40,1,0,2,0,0,0,0,0,0,1,6,61,57,198,5889,2218,43,4,2,0,0,0,0,0,0,0,1,63,49,74,368,7221,2352,36,4,0,0,0,0,0,0,0,0,7,86,66,64,506,9936,1923,43,0,0,0,0,0,0,0,1,2,85,143,210,105,1260,15269,3358,5,0,0,0,0,0,0,2,4,15,481,95,438,277,3515,40108,6100,2,0,0,0,0,0,0,0,0,278,384,502,151,646,8127,67555,1858,2,0,0,0,0,0,0,0,4,180,14,147,27,200,10455,20774,157,0,0,0,0,0,0,0,0,15,28,26,27,22,75,2906,3401,22,0,0,0,0,0,0,0,0,10,0,11,0,7,21,818,1907,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,126,128,1,0,0,0,0,0,0,0,0,0,0,0,2,6,10,462,430,24,0,0,0,0,0,0,0,0,0,0,0,4,12,32,677,1047,71,0,0,0,0,0,0,0,0,0,0,1,30,30,43,2011,1812,25,0,0,0,0,0,0,0,0,0,2,35,54,63,226,4227,1937,19,0,0,0,0,0,0,0,2,2,6,115,84,100,407,6590,1285,14,0,0,0,0,0,0,0,0,3,91,178,242,133,1519,12349,2928,1,0,0,0,0,0,0,2,1,4,485,87,403,376,3972,36898,3078,1,0,0,0,0,0,0,0,0,218,144,321,46,406,7599,25742,278,0,0,0,0,0,0,0,0,1,26,6,25,15,43,2488,2002,28,0,0,0,0,0,0,0,0,1,3,1,2,1,16,460,742,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,321,161,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,125,5,0,0,0,0,0,0,0,0,0,0,0,4,20,15,883,885,25,0,0,0,0,0,0,0,0,0,0,0,48,92,118,3143,2170,39,0,0,0,0,0,0,0,0,0,1,20,103,119,324,6408,3397,38,0,0,0,0,0,0,0,0,0,4,105,114,118,847,13154,3814,12,0,0,0,0,0,0,0,0,0,33,223,180,136,1967,19108,2768,6,0,0,0,0,0,0,0,1,4,123,153,228,192,4012,27261,2932,1,0,0,0,0,0,0,2,4,35,474,128,383,425,6556,36150,1563,0,0,0,0,0,0,0,0,0,147,82,183,38,253,7309,18500,31,0,0,0,0,0,0,0,0,1,7,3,7,5,36,1914,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,118,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1569,872,5,0,0,0,0,0,0,0,0,0,0,0,21,23,65,9029,2414,11,0,0,0,0,0,0,0,0,0,0,0,70,77,585,29000,3793,11,0,0,0,0,0,0,0,0,1,2,170,194,194,2246,47795,5123,22,0,0,0,0,0,0,0,0,0,3,373,303,218,4363,66353,5325,4,0,0,0,0,0,0,0,2,4,239,332,537,269,7445,79765,4903,1,0,0,0,0,0,0,0,0,8,500,133,373,349,9873,72140,2048,0,0,0,0,0,0,0,1,2,138,230,314,76,388,8944,28329,333,0,0,0,0,0,0,0,0,4,89,8,111,27,114,3125,5986,92,0,0,0,0,0,0,0,0,8,137,6,156,7,179,864,4138,71,0,0,0,0,0,0,0,0,144,0,122,7,52,71,597,1809,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,253,1,0,0,0,0,0,0,0,0,0,0,0,2,23,18,1708,1260,5,0,0,0,0,0,0,0,0,0,0,0,65,78,152,7294,2970,21,0,0,0,0,0,0,0,0,0,1,10,77,72,452,13314,3295,9,1,0,0,0,0,0,0,0,0,1,107,124,147,1129,21140,2742,5,0,0,0,0,0,0,0,0,0,9,433,307,254,2863,36802,4539,1,0,0,0,0,0,0,0,2,3,367,346,656,386,6198,74580,5007,0,0,0,0,0,0,0,1,3,9,519,211,333,436,9961,76009,1315,0,0,0,0,0,0,0,0,0,115,80,181,11,191,8837,18800,41,0,0,0,0,0,0,0,0,0,9,2,3,6,14,1219,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,50,123,0,0,0,0,0,0,0,0,0,0,0,0,1,36,45,911,730,10,0,0,0,0,0,0,0,0,0,0,0,66,74,107,4083,1922,11,0,0,0,0,0,0,0,0,0,0,16,100,112,318,10586,3125,8,0,0,0,0,0,0,0,0,0,1,150,142,171,894,18030,2591,2,0,0,0,0,0,0,0,0,2,26,403,299,201,2018,26558,2677,0,0,0,0,0,0,0,0,2,5,300,181,466,328,4301,49183,3444,0,0,0,0,0,0,0,1,2,10,470,131,315,354,8459,64239,794,0,0,0,0,0,0,0,0,0,64,26,89,7,105,6607,11893,26,0,0,0,0,0,0,0,0,0,9,0,11,0,15,523,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,132,3,1,0,0,0,0,0,0,0,0,0,0,0,17,35,2347,1238,25,0,0,0,0,0,0,0,0,0,0,0,3,54,144,11377,3883,74,0,0,0,0,0,0,0,0,0,0,0,87,141,707,25907,6085,103,0,0,0,0,0,0,0,0,0,0,21,253,241,2418,39575,5925,55,0,0,0,0,0,0,0,0,1,2,250,264,316,4082,49810,4956,17,0,0,0,0,0,0,0,0,3,41,440,399,270,6399,56956,4306,26,0,0,0,0,0,0,0,1,2,298,269,504,352,9542,58311,2644,5,0,0,0,0,0,0,0,0,20,287,153,168,333,9446,37027,1021,1,0,0,0,0,0,0,0,0,47,105,102,51,208,5720,18712,457,0,0,0,0,0,0,0,0,2,76,4,81,21,146,2728,11464,175,0,0,0,0,0,0,0,0,6,110,13,112,19,171,1922,14168,380,0,0,0,0,1,0,2,3,20,2,15,1,13,8,2633,6518,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,231,6,0,0,0,0,0,0,0,0,0,0,2,8,18,17,1167,1022,6,0,0,0,0,0,0,0,0,0,1,11,17,30,54,3797,1474,10,0,0,0,0,0,0,0,0,0,0,38,38,61,193,7242,1426,12,0,0,0,0,0,0,0,0,0,1,92,80,68,482,9199,1359,9,0,0,0,0,0,0,0,1,2,56,136,144,66,929,16802,3285,5,0,0,0,0,0,0,1,3,9,778,133,682,443,2901,99790,8705,0,0,0,0,0,0,1,1,2,264,773,725,328,976,12433,170367,2539,0,0,0,0,0,0,0,0,0,329,6,337,11,326,14688,44009,67,0,0,0,0,0,0,0,0,3,0,7,0,6,12,1814,2244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,308,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,23,0,0,0,0,0,0,0,0,0,0,0,1,5,65,61,369,198,1,0,0,0,0,0,0,0,0,0,0,0,43,51,55,809,314,1,0,0,0,0,0,0,0,0,0,0,0,25,21,36,1220,421,0,0,0,0,0,0,0,0,0,1,2,25,27,39,85,2280,510,0,0,0,0,0,0,0,0,0,0,2,60,53,37,165,3786,434,0,0,0,0,0,0,0,0,1,3,60,109,125,61,360,5686,421,0,0,0,0,0,0,0,1,1,3,163,32,181,137,863,9805,638,0,0,0,0,0,0,0,0,0,97,181,187,96,265,1359,19564,408,0,0,0,0,0,0,0,0,0,151,2,156,5,158,1967,12170,47,0,0,0,0,0,0,0,0,5,30,1,31,3,33,917,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,377,215,0,0,0,0,0,0,0,0,0,0,0,0,5,48,43,1206,722,11,0,0,0,0,0,0,0,0,0,0,0,16,29,50,3169,978,14,0,0,0,0,0,0,0,0,0,0,1,23,32,148,5218,1016,12,0,0,0,0,0,0,0,0,1,3,52,58,67,368,6542,766,2,0,0,0,0,0,0,0,0,5,9,119,116,77,784,9033,849,9,0,0,0,0,0,0,0,0,1,88,125,174,99,1289,12228,984,1,0,0,0,0,0,0,0,0,8,317,72,272,263,2335,15760,752,0,0,0,0,0,0,0,0,0,150,111,207,60,257,2720,16172,237,0,0,0,0,0,0,1,2,4,73,13,67,4,65,1867,4317,0,0,0,0,0,0,0,0,2,2,0,1,0,3,4,144,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,448,120,4,0,0,0,0,0,0,0,0,0,0,0,0,16,48,863,777,56,0,0,0,0,0,0,0,0,0,0,0,3,50,91,2108,1960,171,0,0,0,0,0,0,0,0,0,0,1,33,64,157,3671,3305,164,1,0,0,0,0,0,0,0,0,1,22,92,83,294,6512,3512,108,0,0,0,0,0,0,0,0,0,4,72,92,128,741,9142,3029,46,0,1,0,0,0,0,0,0,1,24,136,114,124,1506,13708,2520,46,0,0,0,0,0,0,1,2,3,128,187,204,184,3351,22760,3308,10,0,0,0,0,0,0,0,0,14,492,170,371,477,6351,43239,4118,0,0,0,0,0,0,0,2,2,160,277,343,164,613,10161,58954,354,0,0,0,0,0,0,0,0,13,85,6,89,17,196,8481,7849,0,0,0,0,0,0,0,0,0,4,0,4,0,0,21,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,470,718,5,0,0,0,0,0,0,0,0,0,0,0,8,66,118,3157,1541,11,0,0,0,0,0,0,0,0,0,0,0,78,97,347,4928,1630,16,0,0,0,0,0,0,0,0,0,0,18,84,98,631,6162,1398,15,0,0,0,0,0,0,0,0,0,1,76,63,98,993,6904,1061,8,0,0,0,0,0,0,0,0,0,26,150,133,128,1626,8488,503,0,0,0,0,0,0,0,0,3,3,134,157,187,116,2587,7338,231,0,0,0,0,0,0,0,1,1,8,160,69,104,222,2114,3944,7,0,0,0,0,0,0,0,1,2,21,11,24,1,46,659,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,11,103,125,10,0,0,0,0,0,0,0,0,0,0,0,2,29,54,591,371,23,0,0,0,0,0,0,0,0,0,0,0,33,41,83,1057,792,12,0,0,0,0,0,0,0,0,0,0,3,35,45,131,1822,637,7,0,0,0,0,0,0,0,0,0,2,64,50,70,306,2306,500,1,0,0,0,0,0,0,0,0,2,19,77,67,64,479,2901,385,0,0,0,0,0,0,0,0,2,2,75,71,104,96,925,3739,458,0,0,0,0,0,0,0,0,3,20,135,45,113,120,1048,5260,385,0,0,0,0,0,0,0,0,0,53,54,83,16,100,1221,4916,13,0,0,0,0,0,0,0,0,1,37,3,34,16,26,662,328,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,235,238,2,0,0,0,0,0,0,0,0,0,0,0,11,72,104,1430,591,1,0,0,0,0,0,0,0,0,0,0,2,66,59,121,3000,880,0,0,0,0,0,0,0,0,0,0,0,17,64,48,305,5334,959,3,0,0,0,0,0,0,0,0,0,3,46,58,83,583,7353,916,0,0,0,0,0,0,0,0,0,1,8,191,141,134,1537,12560,880,0,0,0,0,0,0,0,0,4,3,134,129,241,150,2535,11057,379,0,0,0,0,0,0,0,0,2,11,138,60,99,131,1635,4422,25,0,0,0,0,0,0,0,0,0,36,22,53,4,47,750,565,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stroma

0,0,14,59,120,102,177,459,121,71,134,417,16,1,0,0,0,0,22,26,25,3,0,0,0,0,0,0,0,0,0,0,0,0,179,525,123,65,19,1,0,0,0,0,0,0,0,0,0,4,57,1035,679,159,73,15,0,0,0,0,0,0,0,0,0,3,78,292,2696,1497,225,93,26,0,0,0,0,0,0,0,0,0,24,73,531,1409,1091,366,149,9,0,0,0,0,0,0,0,0,1,43,89,263,2770,1425,515,46,5,2,0,0,0,0,0,0,0,17,112,179,969,11463,2260,268,24,6,0,0,0,0,0,0,0,10,32,35,181,3072,1426,319,101,46,1,0,0,0,0,0,0,1,3,5,48,141,377,826,142,42,2,0,0,0,0,0,2,2,2,1,9,32,108,385,176,85,1,0,0,0,0,0,0,1,7,17,329,260,455,613,1638,15102,669,0,0,0,0,0,0,0,1,2,4,37,103,213,447,785,177,0,0,0,0,0,0,0,0,0,2,1,9,55,131,142,168,13,4,0,0,0,0,0,0,0,1,2,2,12,81,274,459,322,27,0,0,0,4,40,99,132,135,391,203,65,58,419,84,7,1,0,unknown

0,0,9,44,47,60,111,88,92,104,93,104,263,611,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,745,320,193,65,29,1,0,0,0,0,0,0,0,0,0,49,511,549,413,284,152,25,1,2,0,0,0,0,0,0,0,2,118,402,424,290,222,119,51,18,1,0,0,0,0,0,0,0,46,158,686,507,175,178,119,37,11,0,0,0,0,0,0,0,29,118,388,1215,393,171,100,58,25,4,0,0,0,0,0,0,13,47,124,385,897,369,142,86,39,42,25,0,0,0,0,0,0,33,96,138,312,1002,353,92,38,22,33,0,0,0,0,0,2,38,102,126,144,479,933,360,44,8,15,0,0,0,0,0,1,8,85,132,128,207,565,940,217,26,1,0,0,0,0,0,0,5,10,111,123,177,377,683,1016,213,2,0,0,0,0,0,1,2,4,110,246,228,296,411,1106,2625,218,0,0,0,0,0,0,0,0,15,136,130,229,384,429,3261,6512,207,0,0,0,0,0,0,0,0,43,78,100,118,554,1127,10437,11567,1,0,0,1,35,43,78,93,92,82,87,85,98,229,489,446,17,unknown

